event_title,event_description,event_room,event_start_day,event_start_time,event_end_day,event_end_time,event_type,event_age_limit
Pre-Reg Pick Up & Mixer/Social,Badge Pre-Reg Pick Up + a chance to meet and get to know fellow con-goers. (Note: pre-reg will be *outside* the Toyota Meeting Hall),Toyota Hall,4/26/24,15:00,4/26/24,20:30,Convention,
Doors Open (Saturday),TouhouFest's Saturday start time is 9:00AM.,All,4/27/24,9:00,4/27/24,9:00,Convention,
Opening Ceremonies,Welcome to TouhouFest! MikoTan and several others on TouhouFest staff will start things off with a few opening remarks.,Torino Plaza,4/27/24,11:00,4/27/24,11:30,Convention,
Maid Academy Cafe,"Maid Academy Cafe, a local Maid & Butler cafe located in Orange County, will be hosting a small performance involving a variety of popular songs. For more information about the group [check out their Instagram](https://www.instagram.com/maidacademycafe/).",Torino Plaza,4/27/24,13:00,4/27/24,14:00,Performance,
Fumo Meetup,Interested in getting to know other Fumo owners at the con? Stop by this fumo small gathering/photoshoot!,Torino Plaza,4/27/24,15:00,4/27/24,16:00,Photoshoot,
Neo Sanctum,"Neo Sanctum, a Canadian Touhou music circle, will be hosting a small performance involving songs they've arranged. Stop by to hear some quality tunes!",Torino Plaza,4/27/24,14:00,4/27/24,15:00,Performance,
Fumology 102,"A deep(ish) dive onto the history of Touhou fumos, done with comedic intent, and some stories involving fumos and other Touhou plushies. We’ll be going down the Fumo iceberg, basically.",Assembly Hall,4/27/24,11:30,4/27/24,13:00,Panels,
Pre-Judging for Cosplay Contest,"Preliminary judging for Cosplay Contest participants prior to the main event. (Note: regular attendees should attend the Cosplay Contest at 5:00PM, *not* this event)",Assembly Hall,4/27/24,15:00,4/27/24,16:00,Cosplay,
Cosplay Contest,"A amazing showcase of some *very* talented and creative Touhou cosplayers! This event breaks down as follows:
- Seating: 4:30 PM - 5:00 PM
- Cosplay Contest: 5:00 PM - 6:00 PM",Assembly Hall,4/27/24,16:30,4/27/24,18:00,Cosplay,
A-ONE Eurobeat Concert,"Get ready to SCREAM OUT when Eurobeat doujin circle **A-ONE** joins TouhouFest as our final guest. Enjoy an electrifying concert starting **Elementas**, **Rute**, and **Aki** racing with banger after banger on the stage!
- Seating will start at 6:00 PM, with the concert proper starting at 6:30 PM.",Assembly Hall,4/27/24,18:00,4/27/24,21:30,Performance,
Guests Meet and Greet/Signing,An opportunity to meet the circle-members of A-ONE and get autographs as desired!,Assembly Hall,4/27/24,22:00,4/27/24,23:00,Guest,
Doors Close (Saturday),TouhouFest closes for the night at 11:00 PM. We'll see you again tommorow at 9:00 AM!,All,4/27/24,23:00,4/27/24,23:00,Convention,
